AccountID,CustomerID,AccountType,OpenDate,Status,BranchID,BalanceSnapshot,IFSCCode,AccountTier
65,25052,Recurring Deposit,18-05-24,Closed,151,330135.52,BKID0005579,Platinum
66,4611,Fixed Deposit,16-09-24,Closed,58,177993.78,BKID0008975,Silver
67,7969,Fixed Deposit,18-07-24,Closed,92,55941.05,BKID0008244,Gold
68,13835,Recurring Deposit,30-09-24,Closed,170,27561.69,BKID0004115,Platinum
69,26764,Fixed Deposit,07-06-24,Active,8,146736.46,BKID0005425,Platinum
70,21021,Fixed Deposit,03-03-25,Closed,75,189356.42,BKID0001239,Platinum
71,10325,Recurring Deposit,14-02-25,Active,74,230475.95,BKID0005416,Platinum
72,9113,Current,04-07-24,Active,68,448831.85,BKID0001828,Silver
73,23797,Fixed Deposit,23-02-25,Closed,33,46944.65,BKID0006111,Gold
74,24559,Savings,07-02-25,Active,2,78795.78,BKID0008014,Gold
75,11102,Recurring Deposit,18-04-24,Active,42,499817.73,BKID0006776,Silver
76,1266,Current,02-08-24,Closed,49,333695.23,BKID0005310,Platinum
77,24679,Loan,30-12-24,Closed,137,150779.45,BKID0002024,Silver
78,10166,Fixed Deposit,23-12-24,Closed,111,172536.34,BKID0001815,Silver
79,26093,Fixed Deposit,09-05-24,Active,78,91482.84,BKID0001405,Platinum
80,3178,Loan,21-02-25,Closed,115,115728.24,BKID0007141,Platinum
81,23532,Fixed Deposit,26-02-25,Closed,136,100276.37,BKID0001795,Platinum
82,7985,Recurring Deposit,20-09-24,Active,142,240225.51,BKID0007116,Silver
83,8005,Current,25-02-25,Active,96,127498.63,BKID0008719,Platinum
84,9664,Loan,24-07-24,Closed,90,477121.61,BKID0004427,Gold
85,22425,Recurring Deposit,29-05-24,Active,156,279568.51,BKID0001576,Gold
86,8522,Recurring Deposit,22-02-25,Closed,130,73630.14,BKID0005050,Platinum
87,20779,Current,09-12-24,Closed,136,457069.1,BKID0007672,Silver
88,19699,Savings,09-02-25,Active,65,491210.71,BKID0002091,Silver
89,13700,Savings,01-11-24,Closed,126,59614.42,BKID0009819,Platinum
90,12462,Current,08-06-24,Closed,183,99865.45,BKID0006649,Platinum
91,28781,Loan,01-06-24,Closed,168,100807.46,BKID0006192,Silver
92,28264,Savings,17-05-24,Closed,52,397975.28,BKID0002853,Silver
93,8184,Savings,29-11-24,Closed,138,433932.06,BKID0008195,Silver
94,13134,Current,07-10-24,Active,19,139848.96,BKID0004662,Platinum
95,15399,Current,01-12-24,Closed,103,327459.6,BKID0009694,Gold
96,27152,Current,15-02-25,Closed,61,176344.07,BKID0005321,Silver
97,29520,Current,08-10-24,Active,143,192639.81,BKID0002540,Gold
98,14752,Current,18-05-24,Closed,143,191527.5,BKID0002925,Silver
99,13263,Savings,28-10-24,Active,104,238934.22,BKID0007650,Gold
100,11483,Savings,08-12-24,Closed,131,400237.69,BKID0001413,Platinum
101,21058,Savings,01-12-24,Closed,132,313382.19,BKID0006983,Platinum
102,17825,Recurring Deposit,31-10-24,Closed,109,285143.8,BKID0001545,Silver
103,20678,Current,23-02-25,Active,6,491073.6,BKID0006023,Silver
104,24180,Current,03-01-25,Closed,165,473364.41,BKID0007590,Gold
105,17579,Current,14-10-24,Closed,103,405069.12,BKID0001308,Silver
106,12000,Recurring Deposit,11-10-24,Active,105,393600.25,BKID0004953,Platinum
107,15517,Recurring Deposit,15-03-25,Closed,192,426446.14,BKID0009353,Platinum
108,736,Fixed Deposit,26-10-24,Active,184,387030.36,BKID0001513,Gold
109,5379,Recurring Deposit,17-03-25,Closed,41,118536.4,BKID0007090,Gold
110,10892,Loan,19-02-25,Closed,54,134787.06,BKID0002002,Platinum
111,6009,Savings,29-04-24,Closed,186,49119.72,BKID0006473,Gold
112,8790,Recurring Deposit,12-10-24,Active,41,164300.69,BKID0005612,Silver
113,16314,Loan,05-03-25,Closed,61,384541.48,BKID0007380,Silver
114,1856,Fixed Deposit,27-11-24,Closed,142,73499.46,BKID0005304,Silver
115,7501,Savings,07-09-24,Active,110,42781.56,BKID0006568,Platinum
116,12926,Current,17-09-24,Active,107,309558.31,BKID0007485,Platinum
117,6912,Fixed Deposit,16-01-25,Closed,72,73030.55,BKID0007206,Platinum
118,19787,Loan,02-11-24,Closed,192,317347.25,BKID0006766,Gold
119,17324,Current,15-03-25,Active,146,265520.76,BKID0004496,Silver
120,15931,Savings,26-10-24,Active,65,205289.65,BKID0002217,Platinum
121,24699,Current,09-06-24,Active,74,45122.32,BKID0002009,Gold
122,27780,Fixed Deposit,30-12-24,Active,54,288785.28,BKID0002183,Platinum
123,20594,Fixed Deposit,18-03-25,Active,117,378969.67,BKID0001935,Platinum
124,7087,Current,14-04-24,Active,24,340711.84,BKID0005119,Silver
125,6024,Loan,09-08-24,Closed,33,261616.36,BKID0005057,Gold
126,17231,Current,06-10-24,Active,173,86406.94,BKID0008295,Silver
127,10317,Loan,21-05-24,Active,127,175490.39,BKID0004126,Silver
128,6200,Current,08-10-24,Closed,55,140719.66,BKID0003274,Gold
129,9395,Savings,14-05-24,Closed,197,455783.62,BKID0003656,Platinum
130,13647,Loan,24-07-24,Closed,92,275720.99,BKID0006294,Platinum
131,3854,Recurring Deposit,20-04-24,Active,33,30471.64,BKID0006032,Platinum
132,21582,Savings,22-04-24,Active,96,66243.81,BKID0006296,Gold
133,21591,Fixed Deposit,02-04-24,Closed,163,225050.6,BKID0005974,Platinum
134,19281,Savings,06-02-25,Closed,14,486088.19,BKID0005620,Platinum
135,468,Fixed Deposit,28-09-24,Active,47,215098.77,BKID0001174,Silver
136,4252,Fixed Deposit,15-05-24,Active,77,136448.88,BKID0002569,Silver
137,18551,Savings,13-06-24,Active,78,347734.05,BKID0008009,Platinum
138,12759,Savings,02-07-24,Closed,174,315019.04,BKID0005549,Silver
139,13314,Savings,17-07-24,Active,16,188891.77,BKID0003683,Gold
140,27671,Loan,14-04-24,Active,105,188516.79,BKID0001647,Gold
141,18147,Current,19-04-24,Closed,190,58669.96,BKID0005609,Platinum
142,23191,Loan,14-02-25,Closed,81,63142.72,BKID0005602,Platinum
143,21027,Recurring Deposit,30-05-24,Closed,112,214535.86,BKID0002554,Gold
144,3539,Recurring Deposit,06-05-24,Closed,72,192244.1,BKID0001748,Silver
145,7012,Savings,19-10-24,Closed,183,192481.07,BKID0009042,Gold
146,22611,Current,19-04-24,Closed,92,431465.49,BKID0003443,Silver
147,4214,Current,21-01-25,Active,171,193702.95,BKID0009353,Silver
148,28770,Loan,02-02-25,Closed,176,117701.31,BKID0003069,Gold
149,2350,Recurring Deposit,26-12-24,Closed,93,182521.76,BKID0003776,Silver
150,7986,Savings,08-03-25,Active,28,307294.4,BKID0008999,Platinum
151,24448,Recurring Deposit,29-05-24,Active,38,405845.05,BKID0006673,Platinum
152,19181,Savings,07-07-24,Closed,35,459599.1,BKID0001749,Silver
153,4853,Loan,01-07-24,Closed,195,52278.16,BKID0005709,Gold
154,8324,Recurring Deposit,21-08-24,Closed,186,220073.72,BKID0007672,Silver
155,3077,Savings,11-04-24,Active,136,207754.86,BKID0003912,Platinum
156,11408,Fixed Deposit,04-04-24,Active,31,411153.2,BKID0007354,Gold
157,13956,Savings,24-04-24,Active,117,52631.34,BKID0001861,Gold
158,25910,Current,10-08-24,Closed,148,337117.8,BKID0008852,Gold
159,4880,Savings,12-10-24,Closed,187,182058.94,BKID0006276,Platinum
160,14237,Savings,18-02-25,Active,67,401452.94,BKID0008857,Platinum
161,9447,Savings,23-10-24,Active,31,103931.72,BKID0006034,Platinum
162,14139,Savings,10-12-24,Active,128,412128.87,BKID0005461,Platinum
163,5470,Loan,15-05-24,Closed,108,418523.77,BKID0006789,Silver
164,21813,Current,31-01-25,Active,127,24732.35,BKID0003417,Platinum
165,1805,Recurring Deposit,17-08-24,Active,181,456883.39,BKID0006650,Platinum
166,25479,Current,13-09-24,Active,29,399999.5,BKID0009335,Platinum
167,26180,Savings,17-10-24,Active,108,212068.22,BKID0008334,Platinum
168,10463,Current,02-12-24,Closed,192,470614.04,BKID0002358,Silver
169,12299,Recurring Deposit,20-11-24,Active,120,363480.59,BKID0005003,Silver
170,23759,Current,29-05-24,Active,97,272591.57,BKID0005795,Platinum
171,3400,Fixed Deposit,25-01-25,Closed,163,431465.25,BKID0008074,Platinum
172,3257,Fixed Deposit,29-06-24,Closed,36,499600,BKID0002416,Silver
173,21657,Loan,07-02-25,Active,158,282013.97,BKID0007331,Silver
174,27741,Fixed Deposit,09-02-25,Closed,98,498098.81,BKID0005590,Platinum
175,9263,Savings,07-05-24,Active,59,399363.7,BKID0002374,Gold
176,17768,Loan,09-12-24,Active,109,425177.74,BKID0002501,Platinum
177,7242,Savings,30-12-24,Closed,2,113501.99,BKID0009188,Gold
178,6749,Loan,24-09-24,Closed,66,251328.67,BKID0009248,Gold
179,28498,Loan,04-09-24,Active,12,305563.48,BKID0006102,Silver
180,15137,Fixed Deposit,26-01-25,Closed,15,369290.24,BKID0005093,Silver
181,7288,Savings,11-05-24,Closed,92,356251.54,BKID0006167,Platinum
182,5104,Savings,26-10-24,Active,146,306345.26,BKID0009289,Silver
183,27425,Current,30-07-24,Active,34,412041.37,BKID0008072,Gold
184,28782,Fixed Deposit,24-04-24,Active,157,124566.99,BKID0009881,Silver
185,9406,Current,15-08-24,Closed,180,323495.02,BKID0005961,Platinum
186,18621,Fixed Deposit,09-06-24,Closed,103,451341.74,BKID0009290,Platinum
187,26588,Recurring Deposit,08-06-24,Closed,193,48887.45,BKID0007309,Gold
188,27899,Loan,14-01-25,Active,10,264080.77,BKID0006551,Silver
189,7653,Loan,13-03-25,Closed,87,295343.79,BKID0003692,Platinum
190,6018,Fixed Deposit,15-05-24,Closed,43,232984.78,BKID0003284,Silver
191,28213,Recurring Deposit,15-09-24,Closed,123,287723.94,BKID0008530,Silver
192,20876,Fixed Deposit,11-04-24,Active,143,279054.19,BKID0007122,Platinum
193,15387,Current,11-08-24,Active,109,67122.55,BKID0002443,Platinum
194,3775,Recurring Deposit,08-03-25,Active,160,100259.04,BKID0009162,Silver
195,27397,Savings,10-09-24,Active,93,275273.65,BKID0006315,Silver
196,10099,Savings,17-04-24,Closed,200,463959.91,BKID0006648,Silver
197,16942,Fixed Deposit,17-04-24,Closed,63,153281.43,BKID0006807,Platinum
198,28225,Fixed Deposit,19-02-25,Active,76,191889.26,BKID0005202,Gold
199,5985,Fixed Deposit,25-07-24,Closed,74,418258.25,BKID0007659,Platinum
200,3304,Fixed Deposit,07-09-24,Active,25,337813.96,BKID0001657,Platinum
201,29363,Loan,14-06-24,Active,169,457146.67,BKID0006625,Silver
202,27608,Recurring Deposit,01-01-25,Active,134,1913.47,BKID0006900,Gold
203,9438,Loan,18-06-24,Active,177,34239.44,BKID0002844,Gold
204,8150,Fixed Deposit,16-05-24,Active,177,13909.71,BKID0001567,Silver
205,5606,Current,03-10-24,Active,53,139384.96,BKID0005573,Silver
206,4652,Loan,26-07-24,Closed,94,104760.8,BKID0002920,Gold
207,15298,Fixed Deposit,23-07-24,Active,27,387658.18,BKID0008140,Platinum
208,9172,Recurring Deposit,14-01-25,Closed,39,81656.94,BKID0002990,Platinum
209,23690,Fixed Deposit,12-08-24,Closed,161,270526.66,BKID0006052,Silver
210,24965,Current,18-11-24,Active,73,463641.61,BKID0005803,Gold
211,109,Fixed Deposit,12-01-25,Active,11,397812.89,BKID0004253,Platinum
212,10795,Fixed Deposit,28-11-24,Active,48,178857.63,BKID0009312,Silver
213,8985,Loan,28-07-24,Closed,63,465877.97,BKID0007462,Platinum
214,1434,Savings,16-07-24,Closed,14,57308.7,BKID0009661,Platinum
215,24736,Fixed Deposit,11-04-24,Active,90,140318.74,BKID0001363,Platinum
216,16087,Loan,18-05-24,Active,56,292129.9,BKID0004955,Silver
217,26984,Loan,19-09-24,Closed,86,452802.6,BKID0001847,Silver
218,5514,Fixed Deposit,15-05-24,Active,105,248834.57,BKID0001970,Silver
219,4507,Fixed Deposit,19-09-24,Active,14,355696.43,BKID0005422,Silver
220,5947,Current,08-04-24,Closed,192,245028.14,BKID0006206,Gold
221,27196,Savings,26-08-24,Closed,12,121760.64,BKID0009341,Gold
222,22517,Fixed Deposit,31-08-24,Active,7,27711.73,BKID0004646,Platinum
223,28124,Recurring Deposit,04-08-24,Active,18,26388.87,BKID0001028,Platinum
224,14883,Loan,28-07-24,Active,29,247030.04,BKID0002478,Silver
225,8068,Current,26-05-24,Closed,21,419851.56,BKID0004372,Silver
226,25593,Current,03-01-25,Active,187,412586.23,BKID0002811,Silver
227,656,Current,08-06-24,Active,196,61273.07,BKID0007623,Gold
228,1543,Recurring Deposit,10-02-25,Active,152,425255.67,BKID0003142,Gold
229,3651,Current,17-11-24,Closed,154,445876.39,BKID0004029,Gold
230,27513,Current,15-06-24,Closed,11,17445.58,BKID0007314,Silver
231,17910,Loan,04-05-24,Closed,164,106846.14,BKID0004041,Gold
232,1628,Fixed Deposit,10-10-24,Closed,163,167115.53,BKID0007854,Gold
233,22009,Savings,13-02-25,Active,113,466679.53,BKID0006366,Silver
234,10265,Recurring Deposit,18-10-24,Closed,26,252451.98,BKID0007884,Silver
235,3613,Current,03-06-24,Closed,70,151506.24,BKID0005613,Platinum
236,6471,Savings,02-10-24,Closed,95,492706.61,BKID0004860,Silver
237,10508,Fixed Deposit,23-01-25,Active,139,60101.46,BKID0006107,Silver
238,27748,Savings,17-06-24,Active,162,364165.77,BKID0006659,Silver
239,11928,Savings,12-01-25,Active,96,398216.94,BKID0009250,Platinum
240,1566,Recurring Deposit,27-11-24,Closed,106,41031.7,BKID0001995,Silver
241,8248,Recurring Deposit,21-02-25,Closed,43,217686.42,BKID0008750,Platinum
242,17701,Current,04-08-24,Closed,88,50114,BKID0007317,Gold
243,8287,Recurring Deposit,13-10-24,Closed,32,19725.27,BKID0007987,Silver
244,20218,Fixed Deposit,06-09-24,Active,123,37317.87,BKID0006370,Silver
245,6126,Savings,22-11-24,Closed,31,306755.47,BKID0006007,Silver
246,2131,Recurring Deposit,11-01-25,Closed,184,207893.47,BKID0002588,Platinum
247,8270,Current,27-06-24,Active,138,180887.53,BKID0001525,Gold
248,479,Savings,14-01-25,Closed,3,379173.98,BKID0001713,Platinum
249,3133,Loan,20-03-25,Closed,70,470747.56,BKID0003844,Platinum
250,26392,Savings,26-07-24,Active,190,171083,BKID0006158,Gold
251,7784,Savings,22-10-24,Closed,162,342857.43,BKID0003185,Silver
252,16998,Fixed Deposit,16-08-24,Closed,172,256309.19,BKID0004646,Gold
253,6918,Fixed Deposit,06-03-25,Closed,85,189225.08,BKID0007060,Silver
254,192,Fixed Deposit,20-03-25,Closed,136,50930.63,BKID0003576,Gold
255,3192,Current,26-11-24,Active,179,446463.54,BKID0009300,Silver
256,18474,Current,31-08-24,Active,101,385294.42,BKID0002485,Gold
257,28164,Fixed Deposit,29-05-24,Active,49,431355.19,BKID0001196,Silver
258,22459,Loan,18-12-24,Active,181,487541.48,BKID0006292,Platinum
259,26031,Loan,02-12-24,Active,100,245636.43,BKID0008968,Silver
260,29760,Fixed Deposit,23-07-24,Active,176,391392.16,BKID0007045,Silver
261,28186,Fixed Deposit,20-07-24,Active,120,147310.29,BKID0005191,Gold
262,17674,Fixed Deposit,29-06-24,Closed,46,375942.46,BKID0007214,Platinum
263,29596,Savings,27-01-25,Closed,184,396269.42,BKID0005691,Silver
264,8266,Fixed Deposit,05-03-25,Closed,186,471650.12,BKID0007315,Gold
265,18816,Fixed Deposit,14-10-24,Closed,57,237103.35,BKID0007281,Silver
266,24718,Loan,07-09-24,Active,161,418654.52,BKID0005876,Platinum
267,13569,Fixed Deposit,13-02-25,Active,185,251195.72,BKID0001452,Silver
268,5156,Recurring Deposit,28-06-24,Closed,175,375070.78,BKID0006075,Gold
269,485,Savings,25-06-24,Active,58,184458.76,BKID0007515,Gold
270,4295,Current,13-12-24,Active,124,74765.28,BKID0007336,Platinum
271,20323,Recurring Deposit,07-06-24,Active,22,310047.9,BKID0003792,Silver
272,18164,Recurring Deposit,30-07-24,Active,191,302765.63,BKID0002852,Silver
273,11127,Savings,10-01-25,Active,63,472666.11,BKID0002125,Gold
274,8848,Recurring Deposit,09-03-25,Active,63,60231.83,BKID0002470,Silver
275,20540,Current,03-06-24,Closed,191,98823.6,BKID0007559,Platinum
276,22870,Current,18-08-24,Closed,99,257244.31,BKID0001950,Gold
277,4290,Fixed Deposit,30-04-24,Active,81,145912.25,BKID0004623,Silver
278,7261,Fixed Deposit,12-12-24,Active,101,417680.25,BKID0007548,Platinum
279,25695,Current,07-10-24,Closed,12,7065.09,BKID0005388,Silver
280,5322,Savings,05-04-24,Closed,36,272520.49,BKID0005586,Silver
281,17669,Current,06-04-24,Active,107,227182.51,BKID0006680,Platinum
282,12178,Recurring Deposit,04-09-24,Closed,38,223012.67,BKID0004334,Platinum
283,6758,Fixed Deposit,25-02-25,Closed,71,74077.24,BKID0009702,Gold
284,28373,Loan,01-09-24,Closed,171,42308.47,BKID0005640,Platinum
285,2040,Loan,26-06-24,Active,159,361532.1,BKID0003976,Silver
286,27528,Recurring Deposit,20-01-25,Closed,154,57584.34,BKID0005509,Gold
287,18473,Current,08-11-24,Closed,152,468144.66,BKID0007957,Silver
288,23308,Recurring Deposit,22-11-24,Active,140,13317.63,BKID0006938,Gold
289,12773,Loan,27-03-25,Active,147,364134.32,BKID0008442,Gold
290,12398,Recurring Deposit,26-01-25,Closed,151,426129.57,BKID0001979,Silver
291,9840,Current,29-07-24,Active,153,209751.04,BKID0003334,Silver
292,12366,Recurring Deposit,28-02-25,Closed,62,292725.7,BKID0007800,Silver
293,20565,Current,01-03-25,Active,160,28035.55,BKID0008233,Silver
294,3822,Current,27-10-24,Closed,30,65598.37,BKID0007230,Silver
295,4662,Loan,11-02-25,Closed,199,199631.31,BKID0004568,Platinum
296,23004,Recurring Deposit,23-05-24,Active,161,404599.12,BKID0006697,Platinum
297,28443,Loan,03-06-24,Active,185,51540.4,BKID0007622,Platinum
298,20687,Savings,03-01-25,Active,112,335233.98,BKID0004661,Gold
299,15882,Loan,17-07-24,Closed,187,11035.33,BKID0009832,Platinum
300,16386,Loan,07-03-25,Closed,94,67186.6,BKID0002718,Gold
301,27184,Savings,02-07-24,Closed,32,344414.31,BKID0001229,Platinum
302,7896,Recurring Deposit,04-05-24,Active,107,121513.8,BKID0001982,Platinum
303,14042,Loan,21-10-24,Active,177,68515.85,BKID0004451,Platinum
304,17913,Savings,19-02-25,Closed,10,31835.22,BKID0006708,Silver
305,25397,Fixed Deposit,09-06-24,Closed,32,252298.78,BKID0001132,Gold
306,18935,Savings,27-07-24,Active,3,198549.06,BKID0009678,Platinum
307,9803,Loan,12-08-24,Closed,16,409420.63,BKID0009340,Platinum
308,23124,Recurring Deposit,14-08-24,Closed,93,322435.41,BKID0009216,Gold
309,14637,Fixed Deposit,07-09-24,Active,182,123522.8,BKID0009193,Silver
310,25062,Recurring Deposit,02-01-25,Closed,194,229331.15,BKID0005535,Platinum
311,19933,Savings,08-12-24,Closed,195,419562.36,BKID0007542,Gold
312,15544,Loan,15-06-24,Active,186,74357.72,BKID0006767,Silver
313,10908,Loan,29-05-24,Closed,84,255330.12,BKID0007870,Platinum
314,7170,Recurring Deposit,07-02-25,Closed,120,56010.17,BKID0009551,Silver
315,50,Savings,20-03-25,Active,90,462645.22,BKID0002556,Platinum
316,27292,Loan,26-02-25,Closed,17,93558.27,BKID0003840,Platinum
317,16523,Savings,20-04-24,Closed,162,358897.1,BKID0006596,Platinum
318,1609,Loan,24-03-25,Closed,3,134227.94,BKID0006117,Platinum
319,5246,Recurring Deposit,30-10-24,Active,3,111600.99,BKID0001042,Silver
320,7479,Loan,11-02-25,Active,99,389515.45,BKID0001213,Silver
321,28073,Savings,17-09-24,Active,142,273350.85,BKID0003360,Platinum
322,28373,Loan,14-06-24,Closed,149,51183.4,BKID0004235,Gold
323,7243,Current,04-03-25,Closed,63,146964.58,BKID0005812,Gold
324,17694,Savings,30-07-24,Closed,47,467811.85,BKID0005813,Platinum
325,11876,Savings,20-08-24,Closed,104,157144.47,BKID0008077,Platinum
326,20179,Current,30-09-24,Active,174,283074.88,BKID0007835,Gold
327,22637,Fixed Deposit,18-04-24,Active,65,48753.55,BKID0007867,Platinum
328,6328,Savings,26-02-25,Closed,111,63377.32,BKID0008847,Platinum
329,11471,Loan,07-01-25,Active,187,372673.83,BKID0001588,Gold
330,7177,Fixed Deposit,18-02-25,Active,169,254732.27,BKID0007182,Silver
331,12400,Recurring Deposit,20-07-24,Active,153,257666.69,BKID0006020,Gold
332,27388,Recurring Deposit,16-10-24,Closed,103,56637.76,BKID0008809,Silver
333,26195,Current,25-07-24,Closed,166,291636.67,BKID0003302,Silver
334,25949,Savings,17-04-24,Active,102,491519.62,BKID0006162,Platinum
335,23195,Loan,05-02-25,Active,146,148785.15,BKID0007292,Platinum
336,21757,Loan,29-01-25,Closed,56,313082.59,BKID0002671,Platinum
337,26956,Recurring Deposit,27-11-24,Closed,62,3294.27,BKID0003143,Silver
338,9155,Fixed Deposit,15-11-24,Active,32,54598.05,BKID0003425,Silver
339,25892,Recurring Deposit,16-10-24,Closed,172,473489.15,BKID0009850,Silver
340,29188,Fixed Deposit,28-04-24,Active,59,253617.09,BKID0001291,Silver
341,16723,Current,21-07-24,Closed,5,159591.43,BKID0003171,Silver
342,11033,Loan,31-10-24,Closed,15,365684.63,BKID0009257,Gold
343,23049,Savings,11-02-25,Closed,168,224265.72,BKID0007017,Silver
344,27678,Current,21-07-24,Active,163,379732.29,BKID0008831,Gold
345,4527,Fixed Deposit,16-01-25,Closed,65,285145.95,BKID0003794,Silver
346,17957,Loan,15-11-24,Closed,127,224535.24,BKID0005860,Platinum
347,24514,Savings,28-11-24,Active,171,100145.63,BKID0002079,Platinum
348,16889,Recurring Deposit,01-05-24,Active,32,196881.88,BKID0007888,Silver
349,6444,Current,25-10-24,Active,111,42251.84,BKID0009420,Gold
350,23863,Fixed Deposit,11-04-24,Closed,113,168020.95,BKID0001444,Platinum
351,14329,Fixed Deposit,11-04-24,Active,133,85943.74,BKID0002322,Gold
352,7577,Loan,06-06-24,Closed,126,388313.38,BKID0007770,Silver
353,20468,Savings,25-09-24,Closed,167,220232.56,BKID0005435,Platinum
354,8170,Fixed Deposit,02-02-25,Closed,24,313687.54,BKID0001776,Gold
355,14062,Recurring Deposit,06-05-24,Closed,148,71033.94,BKID0008953,Platinum
356,16460,Current,01-03-25,Active,109,251139.67,BKID0002041,Platinum
357,4348,Loan,21-03-25,Closed,48,245903.35,BKID0005905,Platinum
358,2270,Recurring Deposit,13-06-24,Active,10,155120.61,BKID0005545,Platinum
359,15089,Savings,08-10-24,Closed,185,25693.53,BKID0007277,Gold
